Player,Span_bat,Start_Year_bat,End_Year_bat,Career_Length_bat,Mat_bat,Inns_bat,NO,Runs_bat,HS,HS_Numeric,HS_NotOut,Ave_bat,BF,SR_bat,100,50,0,Runs_Per_Match,Century_Rate,Fifty_Rate,Consistency_Score,Span_bowl,Start_Year_bowl,End_Year_bowl,Career_Length_bowl,Mat_bowl,Inns_bowl,Balls,Runs_bowl,Wkts,BBI,Ave_bowl,Econ,SR_bowl,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Catches_Per_Match,Dismissals_Per_Match,Stumping_Rate,has_batting,has_bowling,player_role_hint
A Bagai (CAN),2003-2013,2003.0,2013.0,11.0,62.0,60.0,8.0,1964.0,137*,137.0,1.0,37.76,2995.0,65.57,2.0,16.0,2.0,31.68,3.23,25.81,48.884,2003-2013,2003,2013,10,62,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,All-rounder
A Balbirnie (IRE),2010-2019,2010.0,2019.0,10.0,64.0,61.0,4.0,1813.0,145*,145.0,1.0,31.8,2413.0,75.13,5.0,8.0,4.0,28.33,7.81,12.5,49.132,2010-2019,2010,2019,9,64,3.0,60.0,68.0,2.0,Jan-26,34.0,6.8,30.0,0.0,0.0,0.03,0.15,0.07,0.0,,,,,,,,,,,,,,,,,True,True,All-rounder
A Bhandari (INDIA),2000-2004,2000.0,2004.0,5.0,2.0,1.0,1.0,0.0,0*,0.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2000-2004,2000,2004,4,2,2.0,106.0,106.0,5.0,Mar-31,21.2,6.0,21.2,0.0,0.0,2.5,0.17,1.8,0.0,,,,,,,,,,,,,,,,,True,True,All-rounder
A Codrington (CAN),2003-2007,2003.0,2007.0,5.0,9.0,8.0,0.0,47.0,16,16.0,0.0,5.87,92.0,51.08,0.0,0.0,2.0,5.22,0.0,0.0,23.954,2003-2007,2003,2007,4,9,8.0,300.0,265.0,10.0,May-27,26.5,5.3,30.0,0.0,1.0,1.11,0.19,0.83,0.111,,,,,,,,,,,,,,,,,True,True,All-rounder
A Dananjaya (SL),2012-2019,2012.0,2019.0,8.0,36.0,27.0,5.0,283.0,50*,50.0,1.0,12.86,411.0,68.85,0.0,1.0,2.0,7.86,0.0,2.78,35.256,2012-2019,2012,2019,7,36,34.0,1773.0,1506.0,51.0,Jun-29,29.52,5.09,34.7,2.0,2.0,1.42,0.2,1.05,0.056,,,,,,,,,,,,,,,,,True,True,All-rounder
A Flintoff (ENG/ICC),1999-2009,1999.0,2009.0,11.0,141.0,122.0,16.0,3394.0,123,123.0,0.0,32.01,3821.0,88.82,3.0,18.0,9.0,24.07,2.13,12.77,54.734,1999-2009,1999,2009,10,141,119.0,5624.0,4121.0,169.0,May-19,24.38,4.39,33.2,6.0,2.0,1.2,0.23,0.91,0.014,,,,,,,,,,,,,,,,,True,True,All-rounder
A Flower (ZIM),1992-2003,1992.0,2003.0,12.0,213.0,208.0,16.0,6786.0,145,145.0,0.0,35.34,9097.0,74.59,4.0,55.0,13.0,31.86,1.88,25.82,51.04,1992-2003,1992,2003,11,213,2.0,30.0,23.0,0.0,-,,4.6,,0.0,0.0,0.0,0.22,0.07,0.0,1992-2003,1992.0,2003.0,11.0,213.0,212.0,173.0,141.0,32.0,133.0,8.0,,0.816,0.66,0.81,0.15,True,True,All-rounder
A Jadeja (INDIA),1992-2000,1992.0,2000.0,9.0,196.0,179.0,36.0,5359.0,119,119.0,0.0,37.47,7677.0,69.8,6.0,30.0,10.0,27.34,3.06,15.31,50.402,1992-2000,1992,2000,8,196,52.0,1248.0,1094.0,20.0,03-Mar,54.7,5.25,62.4,0.0,0.0,0.1,0.19,0.13,0.0,,,,,,,,,,,,,,,,,True,True,All-rounder
A Kumble (Asia/INDIA),1990-2007,1990.0,2007.0,18.0,271.0,136.0,47.0,938.0,26,26.0,0.0,10.53,1536.0,61.06,0.0,0.0,18.0,3.46,0.0,0.0,30.742,1990-2007,1990,2007,17,271,265.0,14496.0,10412.0,337.0,06-Dec,30.89,4.3,43.0,8.0,2.0,1.24,0.23,0.94,0.007,,,,,,,,,,,,,,,,,True,True,All-rounder
A Kuruvilla (INDIA),1997-1997,1997.0,1997.0,1.0,25.0,11.0,4.0,26.0,7,7.0,0.0,3.71,43.0,60.46,0.0,0.0,1.0,1.04,0.0,0.0,26.41,1997-1997,1997,1997,0,25,25.0,1131.0,890.0,25.0,Apr-43,35.6,4.72,45.2,1.0,0.0,1.0,0.21,0.76,0.0,,,,,,,,,,,,,,,,,True,True,All-rounder
